Elapsed_Time, System_Time, Elbow_Angle_L, Elbow_Speed_L, Elbow_Angle_R, Elbow_Speed_R, ArmUD_Angle_L, ArmUD_Speed_L, ArmUD_Angle_R, ArmUD_Speed_R, ArmLR_Angle_L, ArmLR_Speed_L, ArmLR_Angle_R, ArmLR_Speed_R
9.193407, 19:49:59.319,124.6445,0.8855903,118.9744,-51.66716,12.80155,-0.4161943,13.49906,0.1335229,32.13767,-1.087021,110.2131,-1.056519,
9.267103, 19:49:59.369,124.7468,1.413891,118.6439,-25.60104,12.77271,-0.5149913,13.45433,-0.466094,32.06366,-1.280629,110.0921,-1.42647,
9.317742, 19:49:59.422,124.8203,2.064533,115.7913,-38.23459,12.73752,-0.6787581,13.4411,-0.7959123,31.97844,-1.639397,110.0357,-1.10409,
9.369663, 19:49:59.494,124.9586,2.709353,114.7226,-13.07386,12.7031,-0.6053696,13.37271,-1.109082,31.89552,-1.544628,109.9788,-0.6417478,
9.443629, 19:49:59.547,125.1614,3.082154,114.1454,-7.762743,12.66131,-0.7053307,13.30149,-0.9706838,31.78399,-1.914097,109.9549,-0.1302335,
9.495557, 19:49:59.619,125.3466,2.682747,113.7453,70.93475,12.6143,-0.8646212,13.2505,-0.4711144,31.65455,-2.460354,109.9624,-0.5195173,
9.567619, 19:49:59.669,125.494,1.55376,122.9406,80.58466,12.5541,-0.9824824,13.24307,-0.358911,31.47893,-2.877314,109.8905,-0.673143,
9.616796, 19:49:59.744,125.535,0.7140783,123.5154,3.650166,12.49519,-0.9588739,13.20699,-0.504222,31.30571,-2.875953,109.8808,0.009302962,
9.693095, 19:49:59.797,125.5836,-122.8212,123.3986,-1.831635,12.43379,-0.9017256,13.1798,-0.3999364,31.11807,-2.775326,109.8917,0.2386621,
9.745785, 19:49:59.868,109.6925,-76.07793,123.2791,-0.1619866,12.37888,-0.8373562,13.1554,-0.3634726,30.94772,-2.673058,109.9116,0.2115908,
9.816447, 19:49:59.919,116.1992,21.26611,123.3787,1.322445,12.3305,-0.735814,13.13497,0.07329565,30.78834,-2.45122,109.9178,-0.7357047,
9.867935, 19:49:59.971,112.2901,-37.95722,123.4406,2.286728,12.289,-0.5917243,13.16435,0.7535968,30.6483,-2.170688,109.8217,-2.349562,
9.919655, 19:50:00.046,112.2818,8.047707,123.6147,1.437203,12.26943,-0.2933176,13.21275,1.250294,30.56431,-1.295424,109.6753,-3.463081,
9.996035, 19:50:00.097,113.321,49.60231,123.6247,0.3922087,12.25142,-0.2549493,13.32452,1.016403,30.48236,-1.172389,109.3781,-3.226791,
10.04524, 19:50:00.169,118.5111,49.02186,123.6639,0.5405711,12.23741,-0.1388046,13.34039,0.1444546,30.41708,-0.8203178,109.2701,-0.9948922,
10.1174, 19:50:00.224,119.2705,9.094725,123.6903,0.1713902,12.23458,-0.01493172,13.34205,0.1420043,30.3828,-0.4423849,109.2574,-0.3214088,
